contigID,taxID,species,genus,subfamily,family,order,class,phylum,kingdom,clade,superkingdom
TO_sample_contig_21278,186532,unknown_species,Ceduovirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_79394,746830,Deltapolyomavirus sextihominis,Deltapolyomavirus,unknown_subfamily,Polyomaviridae,Sepolyvirales,Papovaviricetes,Cossaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_144954,1982251,unknown_species,Pahexavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_172159,186532,unknown_species,Ceduovirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_186376,1922243,unknown_species,Sextaecvirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_228475,746830,Deltapolyomavirus sextihominis,Deltapolyomavirus,unknown_subfamily,Polyomaviridae,Sepolyvirales,Papovaviricetes,Cossaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_228597,1623305,unknown_species,Skunavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_244429,1623305,unknown_species,Skunavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_310321,1922243,unknown_species,Sextaecvirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_324352,1623304,unknown_species,Moineauvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_351245,1623304,unknown_species,Moineauvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_357132,1922243,unknown_species,Sextaecvirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_446157,10372,Roseolovirus humanbeta7,Roseolovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_456233,1623304,unknown_species,Moineauvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_463524,1982251,unknown_species,Pahexavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_463820,10372,Roseolovirus humanbeta7,Roseolovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_611504,1623305,unknown_species,Skunavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_628778,1623305,unknown_species,Skunavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_630943,186532,unknown_species,Ceduovirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_637341,1623304,unknown_species,Moineauvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_699126,10372,Roseolovirus humanbeta7,Roseolovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_840010,10372,Roseolovirus humanbeta7,Roseolovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_866515,1922243,unknown_species,Sextaecvirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_869370,1608440,Chimeric virus 14,unknown_genus,unknown_subfamily,unknown_family,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_934781,1608440,Chimeric virus 14,unknown_genus,unknown_subfamily,unknown_family,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
