,Type,Person,Day,Object,Object2,Object3
TO_6_1_Plastic,TO,P_6,1,Plastic,Object,Plastic_1
TO_6_2_Knife,TO,P_6,2,Knife,Object,Knife_2
TO_6_2_Phone,TO,P_6,2,Phone,Object,Phone_2
TO_6_2_Plastic,TO,P_6,2,Plastic,Object,Plastic_2
TO_10_1_Ceramic,TO,P_10,1,Ceramic,Object,Ceramic_1
TO_8_1_Glass,TO,P_8,1,Glass,Object,Glass_1
TO_8_1_Phone,TO,P_8,1,Phone,Object,Phone_1
TO_8_2_Glass,TO,P_8,2,Glass,Object,Glass_2
TO_8_2_Knife,TO,P_8,2,Knife,Object,Knife_2
TO_8_2_Plastic,TO,P_8,2,Plastic,Object,Plastic_2
TO_10_1_Plastic,TO,P_10,1,Plastic,Object,Plastic_1
TO_10_2_Glass,TO,P_10,2,Glass,Object,Glass_2
TO_10_0_Hands,TO,P_10,0,Hands,Hands,Hands_0
TO_10_2_Knife,TO,P_10,2,Knife,Object,Knife_2
TO_1_1_Ceramic,TO,P_1,1,Ceramic,Object,Ceramic_1
TO_1_1_Glass,TO,P_1,1,Glass,Object,Glass_1
TO_1_1_Knife,TO,P_1,1,Knife,Object,Knife_1
TO_1_0_Hands,TO,P_1,0,Hands,Hands,Hands_0
TO_1_1_Phone,TO,P_1,1,Phone,Object,Phone_1
TO_1_1_Plastic,TO,P_1,1,Plastic,Object,Plastic_1
TO_1_2_Ceramic,TO,P_1,2,Ceramic,Object,Ceramic_2
TO_1_2_Knife,TO,P_1,2,Knife,Object,Knife_2
TO_1_2_Plastic,TO,P_1,2,Plastic,Object,Plastic_2
TO_2_1_Ceramic,TO,P_2,1,Ceramic,Object,Ceramic_1
TO_2_0_Hands,TO,P_2,0,Hands,Hands,Hands_0
TO_2_1_Glass,TO,P_2,1,Glass,Object,Glass_1
TO_2_1_Knife,TO,P_2,1,Knife,Object,Knife_1
TO_2_1_Phone,TO,P_2,1,Phone,Object,Phone_1
TO_2_1_Plastic,TO,P_2,1,Plastic,Object,Plastic_1
TO_2_2_Ceramic,TO,P_2,2,Ceramic,Object,Ceramic_2
TO_2_2_Knife,TO,P_2,2,Knife,Object,Knife_2
TO_2_2_Phone,TO,P_2,2,Phone,Object,Phone_2
TO_3_0_Hands,TO,P_3,0,Hands,Hands,Hands_0
TO_2_2_Plastic,TO,P_2,2,Plastic,Object,Plastic_2
TO_3_1_Ceramic,TO,P_3,1,Ceramic,Object,Ceramic_1
TO_3_1_Glass,TO,P_3,1,Glass,Object,Glass_1
TO_3_1_Knife,TO,P_3,1,Knife,Object,Knife_1
TO_3_1_Phone,TO,P_3,1,Phone,Object,Phone_1
TO_3_1_Plastic,TO,P_3,1,Plastic,Object,Plastic_1
TO_3_2_Ceramic,TO,P_3,2,Ceramic,Object,Ceramic_2
TO_3_2_Glass,TO,P_3,2,Glass,Object,Glass_2
TO_4_0_Hands,TO,P_4,0,Hands,Hands,Hands_0
TO_3_2_Knife,TO,P_3,2,Knife,Object,Knife_2
TO_3_2_Phone,TO,P_3,2,Phone,Object,Phone_2
TO_3_2_Plastic,TO,P_3,2,Plastic,Object,Plastic_2
TO_4_1_Ceramic,TO,P_4,1,Ceramic,Object,Ceramic_1
TO_6_0_Hands,TO,P_6,0,Hands,Hands,Hands_0
TO_6_1_Ceramic,TO,P_6,1,Ceramic,Object,Ceramic_1
TO_6_1_Glass,TO,P_6,1,Glass,Object,Glass_1
TO_6_1_Phone,TO,P_6,1,Phone,Object,Phone_1
TO_8_0_Hands,TO,P_8,0,Hands,Hands,Hands_0
