"","TO_6_1_Plastic","TO_6_2_Ceramic","TO_6_2_Glass","TO_6_2_Hands","TO_6_2_Knife","TO_6_2_P6D2","TO_6_2_p9blh","TO_6_2_Phone","TO_6_2_Plastic","TO_7_1_Ceramic","TO_9_0_Hands","TO_7_1_Glass","TO_7_1_Hands","TO_7_1_Knife","TO_7_1_P7D1","TO_7_1_Phone","TO_7_1_Plastic","TO_7_2_Glass","TO_7_2_Hands","TO_10_1_Ceramic","TO_7_2_P7D2","TO_7_2_Phone","TO_8_1_Glass","TO_8_1_Hands","TO_8_1_P8D1","TO_8_1_Phone","TO_8_1_Plastic","TO_8_2_Glass","TO_10_1_Glass","TO_8_2_Hands","TO_8_2_Knife","TO_8_2_P8D2","TO_8_2_Phone","TO_8_2_Plastic","TO_9_1_Ceramic","TO_9_1_Glass","TO_9_1_Hands","TO_9_1_Knife","TO_9_1_P9D1","TO_10_1_Hands","TO_9_1_Phone","TO_9_1_Plastic","TO_9_2_Ceramic","TO_9_2_Glass","TO_9_2_Hands","TO_9_2_Knife","TO_9_2_P9D2","TO_9_2_Phone","TO_9_2_Plastic","TO_10_1_Knife","TO_10_1_P10D1","TO_10_1_Phone","TO_10_1_Plastic","TO_10_2_Ceramic","TO_10_2_Glass","TO_10_0_Hands","TO_10_2_Hands","TO_10_2_Knife","TO_10_2_P10D2","TO_10_2_Phone","TO_10_2_Plastic","TO_1_1_Ceramic","TO_1_1_Glass","TO_1_1_Hands","TO_1_1_Knife","TO_1_1_P1D1","TO_1_0_Hands","TO_1_1_Phone","TO_1_1_Plastic","TO_1_2_Ceramic","TO_1_2_Glass","TO_1_2_Hands","TO_1_2_Knife","TO_1_2_P1D2","TO_1_2_Phone","TO_1_2_Plastic","TO_2_1_Ceramic","TO_2_0_Hands","TO_2_1_Glass","TO_2_1_Hands","TO_2_1_Knife","TO_2_1_P2D1","TO_2_1_Phone","TO_2_1_Plastic","TO_2_2_Ceramic","TO_2_2_Knife","TO_2_2_P2D2","TO_2_2_Phone","TO_3_0_Hands","TO_2_2_Plastic","TO_3_1_Ceramic","TO_3_1_Glass","TO_3_1_Hands","TO_3_1_Knife","TO_3_1_P3D1","TO_3_1_Phone","TO_3_1_Plastic","TO_3_2_Ceramic","TO_3_2_Glass","TO_4_0_Hands","TO_3_2_Hands","TO_3_2_Knife","TO_3_2_P3D2","TO_3_2_Phone","TO_3_2_Plastic","TO_4_1_Ceramic","TO_4_1_Hands","TO_4_1_P4D1","TO_5_0_Hands","TO_4_1_Phone","TO_4_1_Plastic","TO_4_2_Glass","TO_4_2_Hands","TO_4_2_Knife","TO_4_2_P4D2","TO_4_2_Phone","TO_5_1_Ceramic","TO_6_0_Hands","TO_5_1_Glass","TO_5_1_Hands","TO_5_1_P5D1","TO_5_1_Phone","TO_5_1_Plastic","TO_5_2_Ceramic","TO_5_2_Glass","TO_5_2_Hands","TO_7_0_Hands","TO_5_2_p5nh1","TO_5_2_Phone","TO_5_2_Plastic","TO_6_1_Ceramic","TO_6_1_Glass","TO_6_1_Hands","TO_6_1_Knife","TO_6_1_P6D1","TO_6_1_Phone","TO_8_0_Hands"
"Woolly monkey sarcoma virus_TAXID_No_11970",0,0,0,0,0,6694.15217605807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63699397568385,0,0,0,0,0,0,0,0,0,0,1920.93687321688,0,0,148.548847174617,0,379.886683527628,0,0,13672.6057647649,0,0,0,2197.06399477761,0,830.939896327519,0,0,0,203.666759755114,0,0,0,0,0,0,0,1.24546288381238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_species_TAXID_No_TO_sample_contig_9529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.540675841238,50854.8383639386,0,0,0,63336.6624185449,0,8004.27444669676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus phage phi-SsuFJZZ32_rum_TAXID_No_2664396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.308955017708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38763.3976809993,76017.5027686764,0,0,0,3545.19430247901,0,0,0,8.15776508887843,0,0,0,0,0,153.460815591411,0,0,0,0,0,0,0,1.04743597062164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ostreococcus lucimarinus virus 2_TAXID_No_1663208",28.6287366786385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433.09323154878,17.0523241666336,0,4187.30806189956,0,52.1424218093517,1264.33356426316,0,0,0,0,4832.85660014155,0,0,7470.7669299007,53063.438363903,1740.22583911896,0,0,157.406199700918,716474.838329429,267.605865272896,67.2773442564231,256365.343004793,15103.3236606159,0,0,0,751135.915852276,0,43423.2774128875,0,0,0,0,0,0,0,0,0,49.6089215359219,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,256488.222034327,0,0,0,0,0,3014.97236659208,0,503.783080382883,0,0,0,0,0,0,0,7967.26061805234,0
"no_species_TAXID_No_TO_sample_contig_13013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169665.202648886,0,0,0,0,0,930420.838596857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.210406292781,0,45.3468094536546,527.372243032565,0,0,0,0,0,0,0,0,0,0,0,150.772720302303,0,0,0,0,0,0,0,0,0,0,940989.848423699,0,0,0,0,45286.3874459744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triavirus tv42e_TAXID_No_2908113",0,0,0,0,0,0,0,0,0,0,2993.70519947282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9652438393775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_species_TAXID_No_TO_sample_contig_14859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055.2780833208,0,110.618923726228,0,0,0,0,339.791507759709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_species_TAXID_No_TO_sample_contig_16918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.064181866059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.112937265008
"no_species_TAXID_No_TO_sample_contig_16998",7288.35031311132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14578.567279087,0,0,0,0,0,0,0,10309.3126978981,0,0,0,0,0
"no_species_TAXID_No_TO_sample_contig_18301",0,0,0,0,0,0,0,0,0,0,0,0,128.124949559739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
