"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length","unique_id"
"Woolly monkey sarcoma virus_TAXID_No_11970","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Woolly monkey sarcoma virus","11970",NA,"Woolly monkey sarcoma virus_TAXID_No_11970"
"no_species_TAXID_No_TO_sample_contig_9529","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_9529",NA,"no_species_TAXID_No_TO_sample_contig_9529"
"Streptococcus phage phi-SsuFJZZ32_rum_TAXID_No_2664396","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Streptococcus phage phi-SsuFJZZ32_rum","2664396",NA,"Streptococcus phage phi-SsuFJZZ32_rum_TAXID_No_2664396"
"Ostreococcus lucimarinus virus 2_TAXID_No_1663208","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Prasinovirus","Ostreococcus lucimarinus virus 2","1663208",NA,"Ostreococcus lucimarinus virus 2_TAXID_No_1663208"
"no_species_TAXID_No_TO_sample_contig_13013","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_13013",NA,"no_species_TAXID_No_TO_sample_contig_13013"
"Triavirus tv42e_TAXID_No_2908113","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Triavirus","Triavirus tv42e","2908113",NA,"Triavirus tv42e_TAXID_No_2908113"
"no_species_TAXID_No_TO_sample_contig_14859","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_14859",NA,"no_species_TAXID_No_TO_sample_contig_14859"
"no_species_TAXID_No_TO_sample_contig_16918","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_16918",NA,"no_species_TAXID_No_TO_sample_contig_16918"
"no_species_TAXID_No_TO_sample_contig_16998","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_16998",NA,"no_species_TAXID_No_TO_sample_contig_16998"
"no_species_TAXID_No_TO_sample_contig_18301","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_18301",NA,"no_species_TAXID_No_TO_sample_contig_18301"
"no_species_TAXID_No_TO_sample_contig_20804","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_20804",NA,"no_species_TAXID_No_TO_sample_contig_20804"
"Staphylococcus phage StB27_TAXID_No_1147044","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Staphylococcus phage StB27","1147044",NA,"Staphylococcus phage StB27_TAXID_No_1147044"
"no_species_TAXID_No_TO_sample_contig_24089","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_24089",NA,"no_species_TAXID_No_TO_sample_contig_24089"
"Moraxella phage Mcat27_TAXID_No_1647543","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Moraxella phage Mcat27","1647543",NA,"Moraxella phage Mcat27_TAXID_No_1647543"
"no_species_TAXID_No_TO_sample_contig_32104","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_32104",NA,"no_species_TAXID_No_TO_sample_contig_32104"
"no_species_TAXID_No_TO_sample_contig_33596","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_33596",NA,"no_species_TAXID_No_TO_sample_contig_33596"
"no_species_TAXID_No_TO_sample_contig_34630","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_34630",NA,"no_species_TAXID_No_TO_sample_contig_34630"
"no_species_TAXID_No_TO_sample_contig_39052","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_39052",NA,"no_species_TAXID_No_TO_sample_contig_39052"
"no_species_TAXID_No_TO_sample_contig_44586","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_44586",NA,"no_species_TAXID_No_TO_sample_contig_44586"
"no_species_TAXID_No_TO_sample_contig_47855","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_47855",NA,"no_species_TAXID_No_TO_sample_contig_47855"
"Gentian ovary ringspot virus_TAXID_No_1920772","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","unknown_subfamily_of_Virgaviridae","Goravirus","Gentian ovary ringspot virus","1920772",NA,"Gentian ovary ringspot virus_TAXID_No_1920772"
"no_species_TAXID_No_TO_sample_contig_50101","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_50101",NA,"no_species_TAXID_No_TO_sample_contig_50101"
"no_species_TAXID_No_TO_sample_contig_51340","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_51340",NA,"no_species_TAXID_No_TO_sample_contig_51340"
"no_species_TAXID_No_TO_sample_contig_52259","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_52259",NA,"no_species_TAXID_No_TO_sample_contig_52259"
"no_species_TAXID_No_TO_sample_contig_52361","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_52361",NA,"no_species_TAXID_No_TO_sample_contig_52361"
"Escherichia phage 21_TAXID_No_2910191","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Jouyvirus","Escherichia phage 21","2910191",NA,"Escherichia phage 21_TAXID_No_2910191"
"no_species_TAXID_No_TO_sample_contig_54701","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_54701",NA,"no_species_TAXID_No_TO_sample_contig_54701"
"no_species_TAXID_No_TO_sample_contig_56518","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_56518",NA,"no_species_TAXID_No_TO_sample_contig_56518"
"no_species_TAXID_No_TO_sample_contig_59591","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_59591",NA,"no_species_TAXID_No_TO_sample_contig_59591"
"Cyvirus cyprinidallo3_TAXID_No_180230","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Alloherpesviridae","unknown_subfamily_of_Alloherpesviridae","Cyvirus","Cyvirus cyprinidallo3","180230",NA,"Cyvirus cyprinidallo3_TAXID_No_180230"
"no_species_TAXID_No_TO_sample_contig_65206","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_65206",NA,"no_species_TAXID_No_TO_sample_contig_65206"
"Streptococcus phage CHPC1282_TAXID_No_2492468","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Streptococcus phage CHPC1282","2492468",NA,"Streptococcus phage CHPC1282_TAXID_No_2492468"
"Gammapapillomavirus 24_TAXID_No_1478160","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Gammapapillomavirus","Gammapapillomavirus 24","1478160",NA,"Gammapapillomavirus 24_TAXID_No_1478160"
"no_species_TAXID_No_TO_sample_contig_68650","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_68650",NA,"no_species_TAXID_No_TO_sample_contig_68650"
