contigID,subjectACC,taxID,species,genus,subfamily,family,order,class,phylum,kingdom,clade,superkingdom
TO_sample_contig_3336,NC_028091.1,1663208,Ostreococcus lucimarinus virus 2,Prasinovirus,unknown_subfamily,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_4835,NC_009424.5,11970,Woolly monkey sarcoma virus,Gammaretrovirus,Orthoretrovirinae,Retroviridae,Ortervirales,Revtraviricetes,Artverviricota,Pararnavirae,Riboviria,Viruses
TO_sample_contig_9428,NC_028099.1,1452540,Percavirus felidgamma1,Percavirus,Gammaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_11971,NC_014406.1,746830,Deltapolyomavirus sextihominis,Deltapolyomavirus,unknown_subfamily,Polyomaviridae,Sepolyvirales,Papovaviricetes,Cossaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_13295,NC_007052.1,2908113,Triavirus tv42e,Triavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_18480,NC_032111.1,67082,BeAn 58058 virus,Oryzopoxvirus,Chordopoxvirinae,Poxviridae,Chitovirales,Pokkesviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_20594,NC_012703.1,644610,Nyavirus nyamaniniense,Nyavirus,unknown_subfamily,Nyamiviridae,Mononegavirales,Monjiviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_22754,NC_037665.1,2107707,Pandoravirus macleodensis,Pandoravirus,unknown_subfamily,unknown_family,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_25650,NC_040615.1,2035399,Eptesicus fuscus gammaherpesvirus,unknown_genus,Gammaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_36318,NC_024692.1,1529056,Gammanudivirus pemonodonis,Gammanudivirus,unknown_subfamily,Nudiviridae,Lefavirales,Naldaviricetes,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_45632,NC_028821.1,1732064,Staphylococcus phage StB20-like,unknown_genus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_47488,NC_055235.1,153301,Cytomegalovirus papiinebeta3,Cytomegalovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_48338,NC_026440.1,1605721,Pandoravirus inopinatum,Pandoravirus,unknown_subfamily,unknown_family,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_48352,NC_024502.1,1920772,Gentian ovary ringspot virus,Goravirus,unknown_subfamily,Virgaviridae,Martellivirales,Alsuviricetes,Kitrinoviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_53173,NC_076366.1,2582939,Gemykibivirus hydro3,Gemykibivirus,unknown_subfamily,Genomoviridae,Geplafuvirales,Repensiviricetes,Cressdnaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_61451,NC_009127.1,180230,Cyvirus cyprinidallo3,Cyvirus,unknown_subfamily,Alloherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_66451,NC_001526.4,333760,Alphapapillomavirus 9,Alphapapillomavirus,Firstpapillomavirinae,Papillomaviridae,Zurhausenvirales,Papovaviricetes,Cossaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_66901,NC_071058.1,2492468,Streptococcus phage CHPC1282,unknown_genus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_90999,NC_029119.1,1732063,Staphylococcus phage SPbeta-like,unknown_genus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_95491,NC_043382.1,11780,Snyder-Theilen feline sarcoma virus,Gammaretrovirus,Orthoretrovirinae,Retroviridae,Ortervirales,Revtraviricetes,Artverviricota,Pararnavirae,Riboviria,Viruses
TO_sample_contig_95696,NC_008094.1,11884,Y73 sarcoma virus,Alpharetrovirus,Orthoretrovirinae,Retroviridae,Ortervirales,Revtraviricetes,Artverviricota,Pararnavirae,Riboviria,Viruses
TO_sample_contig_103495,NC_055298.1,693450,Orthotospovirus alstroemerinecrosis,Orthotospovirus,unknown_subfamily,Tospoviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_109623,NC_038668.1,11807,Harvey murine sarcoma virus,Gammaretrovirus,Orthoretrovirinae,Retroviridae,Ortervirales,Revtraviricetes,Artverviricota,Pararnavirae,Riboviria,Viruses
TO_sample_contig_125792,NC_008912.1,419435,Ichnoviriform fumiferanae,Ichnoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_128557,NC_074659.1,1805958,Pseudomonas phage phiAH14a,unknown_genus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_131952,NC_003310.1,10244,Monkeypox virus,Orthopoxvirus,Chordopoxvirinae,Poxviridae,Chitovirales,Pokkesviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_148355,NC_043054.1,202910,Varicellovirus bubalinealpha1,Varicellovirus,Alphaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
