"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length"
"TO_sample_contig_4835","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Woolly monkey sarcoma virus","11970"," 2486"
"TO_sample_contig_9428","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","Percavirus","Percavirus felidgamma1","1452540","  403"
"TO_sample_contig_9529","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_9529","  281"
"TO_sample_contig_9557","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Streptococcus phage phi-SsuFJZZ32_rum","2664396"," 6651"
"TO_sample_contig_10163","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  363"
"TO_sample_contig_10786","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily","Prasinovirus","Ostreococcus lucimarinus virus 2","1663208"," 2117"
"TO_sample_contig_11971","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  356"
"TO_sample_contig_13013","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_13013"," 2765"
"TO_sample_contig_13295","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Triavirus","Triavirus tv42e","2908113"," 1178"
"TO_sample_contig_14859","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_14859","  372"
"TO_sample_contig_16918","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_16918"," 2212"
"TO_sample_contig_16998","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_16998","  319"
"TO_sample_contig_18301","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_18301","  281"
"TO_sample_contig_18480","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  419"
"TO_sample_contig_20594","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Nyamiviridae","unknown_subfamily","Nyavirus","Nyavirus nyamaniniense","644610","  268"
"TO_sample_contig_20804","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_20804","  812"
"TO_sample_contig_21278","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Ceduovirus","unknown_species","186532","  301"
"TO_sample_contig_22754","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","Pandoravirus","Pandoravirus macleodensis","2107707","  743"
"TO_sample_contig_23511","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Staphylococcus phage StB27","1147044"," 1048"
"TO_sample_contig_24089","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_24089","  641"
"TO_sample_contig_25650","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","unknown_genus","Eptesicus fuscus gammaherpesvirus","2035399","  452"
"TO_sample_contig_26762","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","15487"
"TO_sample_contig_27171","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","16959"
"TO_sample_contig_29976","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Moraxella phage Mcat27","1647543","  512"
"TO_sample_contig_30755","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Bacteriophage sp.","38018","  348"
"TO_sample_contig_32104","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_32104"," 1371"
"TO_sample_contig_33596","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_33596"," 3658"
"TO_sample_contig_34322","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  315"
"TO_sample_contig_34630","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_34630","  385"
"TO_sample_contig_36088","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  312"
"TO_sample_contig_39052","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_39052"," 4676"
"TO_sample_contig_44586","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_44586"," 1629"
"TO_sample_contig_45153","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  360"
"TO_sample_contig_45236","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","Naldaviricetes","Lefavirales","Nudiviridae","unknown_subfamily","Gammanudivirus","Gammanudivirus pemonodonis","1529056"," 3985"
"TO_sample_contig_47488","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Cytomegalovirus","Cytomegalovirus papiinebeta3","153301","  731"
"TO_sample_contig_47855","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_47855","  949"
"TO_sample_contig_48338","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","Pandoravirus","Pandoravirus inopinatum","1605721","  872"
"TO_sample_contig_48352","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","unknown_subfamily","Goravirus","Gentian ovary ringspot virus","1920772","  390"
"TO_sample_contig_49049","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","uncultured Caudovirales phage","2100421","  358"
"TO_sample_contig_50101","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_50101"," 1162"
"TO_sample_contig_51340","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_51340","  281"
"TO_sample_contig_52259","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_52259","11298"
"TO_sample_contig_52361","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_52361","  347"
"TO_sample_contig_52489","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Bacteriophage sp.","38018","  332"
"TO_sample_contig_52790","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Jouyvirus","Escherichia phage 21","2910191","  810"
"TO_sample_contig_53173","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  282"
